new_name;labels;qh20a_EN_1.0p.dta
personal_id;Personal Identifier;nomem_encr
date_fieldwork;;qh20a_m
;;qh20a001
;;qh20a002
;;qh20a003
;;qh20a004
;;qh20a005
paid_employment;;qh20a006
unemployed_covid;;qh20a007
essential_occupation;;qh20a008
paid_employment_partner;;qh20a009
unemployed_covid_partner;;qh20a010
essential_occupation_partner;;qh20a011
work_situation;Current Work Setup;qh20a012
work_situation_partner;Current Work Setup Partner;qh20a013
children_home_covid;;qh20a014
employer_expectations;;qh20a015
rel_prod_covid;;qh20a016
rel_prod_covid_partner;;qh20a017
change_work_normal;;qh20a018
change_work_day_off;;qh20a019
change_work_evening;;qh20a020
change_work_weekend;;qh20a021
change_work_normal_partner;;qh20a022
change_work_day_off_partner;;qh20a023
change_work_evening_partner;;qh20a024
change_work_weekend_partner;;qh20a025
rel_pressure_covid;;qh20a026
cc_division_pre_covid;;qh20a027
cc_division_covid;;qh20a028
hh_work_division_pre_covid;;qh20a029
hh_work_division_covid;;qh20a030
new_arr_workplace;;qh20a031
new_arr_home_office;;qh20a032
new_arr_cc;;qh20a033
new_arr_hh_work;;qh20a034
new_arr_leisure;;qh20a035
new_arr_other;;qh20a036
disagg_workplace_pre_covid;;qh20a037
disagg_home_office_pre_covid;;qh20a038
disagg_cc_pre_covid;;qh20a039
disagg_hh_work_pre_covid;;qh20a040
disagg_leisure_pre_covid;;qh20a041
disagg_other_pre_covid;;qh20a042
disagg_other_pre_covid_reason;;qh20a043
disagg_rel_workplace_covid;;qh20a044
disagg_rel_home_office_covid;;qh20a045
disagg_rel_cc_covid;;qh20a046
disagg_rel_hh_work_covid;;qh20a047
disagg_rel_leisure_covid;;qh20a048
disagg_rel_other_covid;;qh20a049
leisure_rel;;qh20a050
combine_work_cc_covid;;qh20a051
combine_work_cc_closures;;qh20a052
;;qh20a053
;;qh20a054
;;qh20a055
;;qh20a056
;;qh20a057
;;qh20a058
;;qh20a059
;;qh20a060
;;qh20a061
;;qh20a062
